"full_path","source_root","relative_path","name","extension","size_bytes","size_mb","modified_time","sheet_count","approx_rows","approx_columns","encoding","possible_source","probable_content","key_variables_identified","thematic_category","potential_utility","status","compressed_entry_count","compressed_entry_extensions","observations"
"${DATA_PART_II}\17_BIS\Data_base\WS_LBS_D_PUB_csv_flat.zip","${DATA_PART_II}","17_BIS\Data_base\WS_LBS_D_PUB_csv_flat.zip","WS_LBS_D_PUB_csv_flat.zip",".zip","353155554","336.795","2026-01-10T18:55:41",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","1",".csv:1","ZIP contents listed without extraction."
"${DATA_PART_II}\17_BIS\output_country_year\bis_lbs_annual_raw_duckdb.csv","${DATA_PART_II}","17_BIS\output_country_year\bis_lbs_annual_raw_duckdb.csv","bis_lbs_annual_raw_duckdb.csv",".csv","175486128","167.357","2026-06-18T10:38:05",,"380233","35","unknown or UTF-8 without BOM","local file; source not explicit from name","Likely code dictionary, classifier, metadata, or concordance.","output_country_year; cp_country_raw; time_period; cp_country_code; year; value; value_annual","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\17_BIS\output_country_year\bis_lbs_core_long_country_year_indicator.csv","${DATA_PART_II}","17_BIS\output_country_year\bis_lbs_core_long_country_year_indicator.csv","bis_lbs_core_long_country_year_indicator.csv",".csv","265903293","253.585","2026-06-18T10:38:44",,"357047","35","unknown or UTF-8 without BOM","local file; source not explicit from name","Likely country-year macroeconomic indicators.","output_country_year; bis_lbs_core_long_country_year_indicator; iso3c; country_name; year; indicator_code; indicator_label; value","macroeconomic indicators","medium to high: candidate for country-year panel","useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\17_BIS\output_country_year\bis_lbs_core_wide_country_year.csv","${DATA_PART_II}","17_BIS\output_country_year\bis_lbs_core_wide_country_year.csv","bis_lbs_core_wide_country_year.csv",".csv","3536140","3.372","2026-06-18T10:38:44",,"9388","51","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year; bis_lbs_core_wide_country_year; iso3c; country_name; year; bis_lbs_s_c_a_usd_a_5j_a_5a_a_n; bis_lbs_s_c_a_usd_a_5j_a_5a_b_n; bis_lbs_s_c_a_usd_a_5j_a_5a_n_n; bis_lbs_s_l_a_usd_a_5j_a_5a_a_n; bis_lbs_s_l_a_usd_a_5j_a_5a_b_n; bis_lbs_s_l_a_usd_a_5j_a_5a_n_n; bis_lbs_f_c_a_usd_a_5j_a_5a_a_n; bis_lbs_f_c_a_usd_a_5j_a_5a_b_n; bis_lbs_f_c_a_usd_a_5j_a_5a_n_n; bis_lbs_f_l_a_usd_a_5j_a_5a_a_n; bis_lbs_f_l_a_usd_a_5j_a_5a_b_n; bis_lbs_f_l_a_usd_a_5j_a_5a_n_n; bis_lbs_g_c_a_usd_a_5j_a_5a_a_n; bis_lbs_g_c_a_usd_a_5j_a_5a_b_n; bis_lbs_g_c_a_usd_a_5j_a_5a_n_n; bis_lbs_g_l_a_usd_a_5j_a_5a_a_n; bis_lbs_g_l_a_usd_a_5j_a_5a_b_n; bis_lbs_g_l_a_usd_a_5j_a_5a_n_n; bis_lbs_f_l_a_usd_a_5j_a_5a_p_n; bis_lbs_s_c_a_usd_a_5j_a_5a_p_n; bis_lbs_s_l_a_usd_a_5j_a_5a_p_n; bis_lbs_f_c_a_usd_a_5j_a_5a_p_n; bis_lbs_g_c_a_usd_a_5j_a_5a_p_n; bis_lbs_g_l_a_usd_a_5j_a_5a_p_n","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\17_BIS\output_country_year\bis_lbs_dictionary_indicators.csv","${DATA_PART_II}","17_BIS\output_country_year\bis_lbs_dictionary_indicators.csv","bis_lbs_dictionary_indicators.csv",".csv","31778","0.03","2026-06-18T10:38:40",,"48","27","unknown or UTF-8 without BOM","local file; source not explicit from name","Likely code dictionary, classifier, metadata, or concordance.","output_country_year; bis_lbs_dictionary_indicators; indicator_code; indicator_label","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\17_BIS\output_country_year\bis_lbs_long_country_year_indicator.csv","${DATA_PART_II}","17_BIS\output_country_year\bis_lbs_long_country_year_indicator.csv","bis_lbs_long_country_year_indicator.csv",".csv","265903293","253.585","2026-06-18T10:38:39",,"357047","35","unknown or UTF-8 without BOM","local file; source not explicit from name","Likely country-year macroeconomic indicators.","output_country_year; bis_lbs_long_country_year_indicator; iso3c; country_name; year; indicator_code; indicator_label; value","macroeconomic indicators","medium to high: candidate for country-year panel","useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\17_BIS\output_country_year\bis_lbs_qc_country_coverage.csv","${DATA_PART_II}","17_BIS\output_country_year\bis_lbs_qc_country_coverage.csv","bis_lbs_qc_country_coverage.csv",".csv","7699","0.007","2026-06-18T10:38:45",,"218","7","unknown or UTF-8 without BOM","local file; source not explicit from name","Likely country-year macroeconomic indicators.","output_country_year; bis_lbs_qc_country_coverage; iso3c; country_name; n_years; n_indicators","macroeconomic indicators","medium to high: candidate for country-year panel","useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\17_BIS\output_country_year\bis_lbs_qc_indicator_coverage.csv","${DATA_PART_II}","17_BIS\output_country_year\bis_lbs_qc_indicator_coverage.csv","bis_lbs_qc_indicator_coverage.csv",".csv","16451","0.016","2026-06-18T10:38:45",,"48","6","unknown or UTF-8 without BOM","Geography/dictionary candidate","Likely country-year macroeconomic indicators.","output_country_year; bis_lbs_qc_indicator_coverage; indicator_code; indicator_label","macroeconomic indicators","medium to high: candidate for country-year panel","useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\17_BIS\output_country_year\bis_lbs_qc_resumen.csv","${DATA_PART_II}","17_BIS\output_country_year\bis_lbs_qc_resumen.csv","bis_lbs_qc_resumen.csv",".csv","273","0","2026-06-18T10:38:44",,"1","9","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year; paises_iso3","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\17_BIS\output_country_year\quality_control\01_bis_lbs_cobertura_paises_anio.png","${DATA_PART_II}","17_BIS\output_country_year\quality_control\01_bis_lbs_cobertura_paises_anio.png","01_bis_lbs_cobertura_paises_anio.png",".png","94767","0.09","2026-06-18T10:38:49",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\17_BIS\output_country_year\quality_control\02_bis_lbs_observaciones_anio.png","${DATA_PART_II}","17_BIS\output_country_year\quality_control\02_bis_lbs_observaciones_anio.png","02_bis_lbs_observaciones_anio.png",".png","56776","0.054","2026-06-18T10:38:50",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\17_BIS\output_country_year\quality_control\03_bis_lbs_top_indicadores.png","${DATA_PART_II}","17_BIS\output_country_year\quality_control\03_bis_lbs_top_indicadores.png","03_bis_lbs_top_indicadores.png",".png","159446","0.152","2026-06-18T10:38:51",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\17_BIS\raw_unzipped\WS_LBS_D_PUB_csv_flat.csv","${DATA_PART_II}","17_BIS\raw_unzipped\WS_LBS_D_PUB_csv_flat.csv","WS_LBS_D_PUB_csv_flat.csv",".csv","17600998995","16785.621","2026-06-18T10:35:23",,,"28","unknown or UTF-8 without BOM","local file; source not explicit from name","Likely country-year macroeconomic indicators.","country; l_cp_country; time_period; time; obs_value; value; decimals; time_format; indicator","macroeconomic indicators","medium to high: candidate for country-year panel","useful","","","Row count failed: Cannot convert value ""17600998995"" to type ""System.Int32"". Error: ""Value was either too large or too small for an Int32."" Delimiter: ,."
"${DATA_PART_II}\18_OPECstatistics\OPECstatistics.zip","${DATA_PART_II}","18_OPECstatistics\OPECstatistics.zip","OPECstatistics.zip",".zip","2115883","2.018","2026-06-07T17:54:22",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","46",".xlsx:46","ZIP contents listed without extraction."
"${DATA_PART_II}\18_OPECstatistics\PanelData_OPEC_country-year+.R","${DATA_PART_II}","18_OPECstatistics\PanelData_OPEC_country-year+.R","PanelData_OPEC_country-year+.R",".r","19370","0.018","2026-06-15T16:56:04",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","paneldata_opec_country; year","other","documentation, code, or existing output; not primary analytical data","possibly useful","","",""
"${DATA_PART_II}\18_OPECstatistics\PanelData_OPEC_country-year.R","${DATA_PART_II}","18_OPECstatistics\PanelData_OPEC_country-year.R","PanelData_OPEC_country-year.R",".r","6487","0.006","2026-06-13T11:56:59",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","paneldata_opec_country; year","other","documentation, code, or existing output; not primary analytical data","possibly useful","","",""
"${DATA_PART_II}\18_OPECstatistics\output_country_year\opec_countries_final_wb_iso3c.csv","${DATA_PART_II}","18_OPECstatistics\output_country_year\opec_countries_final_wb_iso3c.csv","opec_countries_final_wb_iso3c.csv",".csv","267","0","2026-06-15T16:47:32",,"21","2","unknown or UTF-8 without BOM","Geography/dictionary candidate","Content inferred from file name and sampled fields only.","output_country_year; opec_countries_final_wb_iso3c; country; iso3c","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\18_OPECstatistics\output_country_year\opec_countries_without_iso3c.csv","${DATA_PART_II}","18_OPECstatistics\output_country_year\opec_countries_without_iso3c.csv","opec_countries_without_iso3c.csv",".csv","606","0.001","2026-06-13T11:57:54",,"22","1","unknown or UTF-8 without BOM","Geography/dictionary candidate","Content inferred from file name and sampled fields only.","output_country_year; opec_countries_without_iso3c; country","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\18_OPECstatistics\output_country_year\opec_dictionary_used_files.csv","${DATA_PART_II}","18_OPECstatistics\output_country_year\opec_dictionary_used_files.csv","opec_dictionary_used_files.csv",".csv","782","0.001","2026-06-15T16:47:32",,"22","2","unknown or UTF-8 without BOM","local file; source not explicit from name","Likely code dictionary, classifier, metadata, or concordance.","output_country_year","dictionaries and metadata","medium: candidate for harmonization and labels","possibly useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\18_OPECstatistics\output_country_year\opec_master_country_year.csv","${DATA_PART_II}","18_OPECstatistics\output_country_year\opec_master_country_year.csv","opec_master_country_year.csv",".csv","162319","0.155","2026-06-15T16:47:32",,"1470","24","unknown or UTF-8 without BOM","local file; source not explicit from name","Likely country-product-year export or trade records.","output_country_year; opec_master_country_year; country; iso3c; year; population_million; gdp_nominal_current_musd; gdp_real_growth_pct; exports_goods_services_musd; petroleum_exports_musd; imports_goods_services_musd; current_account_balance_musd; petroleum_products_output_1000_bd; world_petroleum_products_output_1000_bd; marketed_natural_gas_production_mcm; natural_gas_exports_mcm; natural_gas_imports_mcm","exports by product","high: candidate for trade-country-product-year construction","useful","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\IMG_01_diagnostico_general.png","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\IMG_01_diagnostico_general.png","IMG_01_diagnostico_general.png",".png","7446","0.007","2026-06-15T16:40:13",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\IMG_02_control_calidad_panel.png","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\IMG_02_control_calidad_panel.png","IMG_02_control_calidad_panel.png",".png","7551","0.007","2026-06-15T16:40:14",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\IMG_03_paises_finales_iso3c.png","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\IMG_03_paises_finales_iso3c.png","IMG_03_paises_finales_iso3c.png",".png","12967","0.012","2026-06-15T16:40:14",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year; img_03_paises_finales_iso3c","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\IMG_04_anios_finales.png","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\IMG_04_anios_finales.png","IMG_04_anios_finales.png",".png","9564","0.009","2026-06-15T16:40:16",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\IMG_05_anios_sospechosos.png","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\IMG_05_anios_sospechosos.png","IMG_05_anios_sospechosos.png",".png","5456","0.005","2026-06-15T16:40:16",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\IMG_06_auditoria_aleatoria_valores.png","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\IMG_06_auditoria_aleatoria_valores.png","IMG_06_auditoria_aleatoria_valores.png",".png","66751","0.064","2026-06-15T16:40:20",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\IMG_07_resumen_auditoria_aleatoria.png","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\IMG_07_resumen_auditoria_aleatoria.png","IMG_07_resumen_auditoria_aleatoria.png",".png","6655","0.006","2026-06-15T16:40:20",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\QC_01_paises_por_anio.png","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\QC_01_paises_por_anio.png","QC_01_paises_por_anio.png",".png","87181","0.083","2026-06-15T16:47:33",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\QC_02_observaciones_por_anio.png","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\QC_02_observaciones_por_anio.png","QC_02_observaciones_por_anio.png",".png","67370","0.064","2026-06-15T16:47:34",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\QC_03_cobertura_pais.png","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\QC_03_cobertura_pais.png","QC_03_cobertura_pais.png",".png","124646","0.119","2026-06-15T16:47:35",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\QC_04_heatmap_cobertura.png","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\QC_04_heatmap_cobertura.png","QC_04_heatmap_cobertura.png",".png","290272","0.277","2026-06-15T16:47:37",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\QC_05_resumen_calidad.png","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\QC_05_resumen_calidad.png","QC_05_resumen_calidad.png",".png","91684","0.087","2026-06-15T16:47:38",,,,"","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","documentation, code, or existing output; not primary analytical data","irrelevant","","",""
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\QC_06_auditoria_aleatoria_valores.csv","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\QC_06_auditoria_aleatoria_valores.csv","QC_06_auditoria_aleatoria_valores.csv",".csv","4034","0.004","2026-06-15T16:47:32",,"50","9","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year; country; iso3c; year","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\QC_07_resumen_auditoria_aleatoria.csv","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\QC_07_resumen_auditoria_aleatoria.csv","QC_07_resumen_auditoria_aleatoria.csv",".csv","84","0","2026-06-15T16:47:32",,"1","4","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\QC_anios_finales.csv","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\QC_anios_finales.csv","QC_anios_finales.csv",".csv","330","0","2026-06-15T16:47:32",,"65","1","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year; year","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\QC_anios_sospechosos.csv","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\QC_anios_sospechosos.csv","QC_anios_sospechosos.csv",".csv","564","0.001","2026-06-15T16:47:32",,,"24","unknown or UTF-8 without BOM","local file; source not explicit from name","Likely country-product-year export or trade records.","output_country_year; country; iso3c; year; population_million; gdp_nominal_current_musd; gdp_real_growth_pct; exports_goods_services_musd; petroleum_exports_musd; imports_goods_services_musd; current_account_balance_musd; petroleum_products_output_1000_bd; world_petroleum_products_output_1000_bd; marketed_natural_gas_production_mcm; natural_gas_exports_mcm; natural_gas_imports_mcm","exports by product","high: candidate for trade-country-product-year construction","useful","","","Could not estimate rows from sample. Delimiter: ,."
"${DATA_PART_II}\18_OPECstatistics\output_country_year\quality_control\QC_control_calidad_opec_panel.csv","${DATA_PART_II}","18_OPECstatistics\output_country_year\quality_control\QC_control_calidad_opec_panel.csv","QC_control_calidad_opec_panel.csv",".csv","131","0","2026-06-15T16:47:32",,"1","8","unknown or UTF-8 without BOM","local file; source not explicit from name","Content inferred from file name and sampled fields only.","output_country_year; n_codigos_iso3; paises_sin_iso3","other","unclear until manual review","pending","","","Rows estimated from first sample bytes; file not fully scanned. Delimiter: ,."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t21.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t21.xlsx","t21.xlsx",".xlsx","26389","0.025","2026-06-15T16:44:59","1","318","73","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t22.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t22.xlsx","t22.xlsx",".xlsx","25497","0.024","2026-06-15T16:44:59","1","315","66","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t23.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t23.xlsx","t23.xlsx",".xlsx","31738","0.03","2026-06-15T16:44:59","1","319","66","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t24.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t24.xlsx","t24.xlsx",".xlsx","25608","0.024","2026-06-15T16:44:59","1","317","66","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t25.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t25.xlsx","t25.xlsx",".xlsx","26556","0.025","2026-06-15T16:44:59","1","314","66","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t26.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t26.xlsx","t26.xlsx",".xlsx","25839","0.025","2026-06-15T16:44:59","1","317","66","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t27.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t27.xlsx","t27.xlsx",".xlsx","24490","0.023","2026-06-15T16:44:59","1","318","66","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t31.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t31.xlsx","t31.xlsx",".xlsx","46904","0.045","2026-06-15T16:44:59","1","357","66","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t32.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t32.xlsx","t32.xlsx",".xlsx","28355","0.027","2026-06-15T16:44:59","1","348","57","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t33.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t33.xlsx","t33.xlsx",".xlsx","20362","0.019","2026-06-15T16:44:59","1","303","58","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t34.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t34.xlsx","t34.xlsx",".xlsx","28079","0.027","2026-06-15T16:44:59","1","59","66","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t35.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t35.xlsx","t35.xlsx",".xlsx","54505","0.052","2026-06-15T16:44:59","1","102","69","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t36.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t36.xlsx","t36.xlsx",".xlsx","41323","0.039","2026-06-15T16:44:59","1","79","66","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t37.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t37.xlsx","t37.xlsx",".xlsx","17802","0.017","2026-06-15T16:44:59","1","57","58","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t41.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t41.xlsx","t41.xlsx",".xlsx","36904","0.035","2026-06-15T16:44:59","1","372","47","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t42.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t42.xlsx","t42.xlsx",".xlsx","46268","0.044","2026-06-15T16:44:59","1","407","47","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t43.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t43.xlsx","t43.xlsx",".xlsx","413146","0.394","2026-06-15T16:44:59","1","416","49","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t44.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t44.xlsx","t44.xlsx",".xlsx","71229","0.068","2026-06-15T16:44:59","1","360","57","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t45.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t45.xlsx","t45.xlsx",".xlsx","89488","0.085","2026-06-15T16:44:59","1","421","46","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t46.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t46.xlsx","t46.xlsx",".xlsx","63400","0.06","2026-06-15T16:44:59","1","100","66","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t47.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t47.xlsx","t47.xlsx",".xlsx","78700","0.075","2026-06-15T16:44:59","1","102","66","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
"${DATA_PART_II}\18_OPECstatistics\raw_unzipped\t48.xlsx","${DATA_PART_II}","18_OPECstatistics\raw_unzipped\t48.xlsx","t48.xlsx",".xlsx","59824","0.057","2026-06-15T16:44:59","1","112","56","","local file; source not explicit from name","Content inferred from file name and sampled fields only.","","other","unclear until manual review","pending","","","Workbook metadata read from XLSX zip structure; no cell values loaded."
